district,industry_code,industry_name,classification_level,core_office,core_plus_full_row,broad_office,district_industry_employment,official_city_industry_employment,district_share_of_city_industry_percentage,reference_date,employment_universe,source_table,source_url
黄浦区,M,科学研究和技术服务业,section,True,True,True,40473,872189,4.640393309248339,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
徐汇区,M,科学研究和技术服务业,section,True,True,True,95029,872189,10.895459585021136,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
长宁区,M,科学研究和技术服务业,section,True,True,True,26600,872189,3.049797692931234,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
静安区,M,科学研究和技术服务业,section,True,True,True,50564,872189,5.797367313735899,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
普陀区,M,科学研究和技术服务业,section,True,True,True,32220,872189,3.6941534460994117,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
虹口区,M,科学研究和技术服务业,section,True,True,True,19712,872189,2.2600606061300934,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
杨浦区,M,科学研究和技术服务业,section,True,True,True,55738,872189,6.390587361225605,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
闵行区,M,科学研究和技术服务业,section,True,True,True,112661,872189,12.91703977004984,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
宝山区,M,科学研究和技术服务业,section,True,True,True,35808,872189,4.105532172499309,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
嘉定区,M,科学研究和技术服务业,section,True,True,True,73293,872189,8.403339184511614,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
浦东新区,M,科学研究和技术服务业,section,True,True,True,215616,872189,24.7212473443256,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
金山区,M,科学研究和技术服务业,section,True,True,True,13077,872189,1.4993309936263814,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
松江区,M,科学研究和技术服务业,section,True,True,True,39561,872189,4.535828816919269,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
青浦区,M,科学研究和技术服务业,section,True,True,True,28916,872189,3.315336469503743,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
奉贤区,M,科学研究和技术服务业,section,True,True,True,29052,872189,3.3309294201142183,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
崇明区,M,科学研究和技术服务业,section,True,True,True,3869,872189,0.4435965140583062,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
黄浦区,K,房地产业,section,False,False,True,36382,601432,6.049229173040343,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
徐汇区,K,房地产业,section,False,False,True,38001,601432,6.318420037510474,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
长宁区,K,房地产业,section,False,False,True,33459,601432,5.563222442437383,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
静安区,K,房地产业,section,False,False,True,70802,601432,11.772236927865494,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
普陀区,K,房地产业,section,False,False,True,40299,601432,6.70050812061879,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
虹口区,K,房地产业,section,False,False,True,41739,601432,6.9399366844464545,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
杨浦区,K,房地产业,section,False,False,True,24822,601432,4.1271498689793695,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
