accounting_control,district,control_name,control_type,control_employment,control_area_m2,jrc_nres_volume_m3,poi_business_finance,poi_industry_logistics,poi_education_research,poi_retail_hospitality,poi_health_public,poi_other_economic,area_cell_equivalents,centroid_x,centroid_y,log1p_jrc_nres_volume_total,log1p_poi_business_finance_total,log1p_poi_industry_logistics_total,log1p_poi_education_research_total,log1p_poi_retail_hospitality_total,log1p_poi_health_public_total,log1p_poi_other_economic_total,spatial_holdout_fold,geographic_holdout_prediction,full_fit_prediction
310105006000,长宁区,天山路街道,street,70756,1899095.1075360083,3658260.99850686,7.837795668244362,2.0931971669197083,3.0287029147148132,141.6430809929371,3.8675263714790344,9.335856718420983,189.90951075360084,347966.22711503186,3454060.9098123093,15.11249872879809,2.1790374867585913,1.1292052378463715,1.3934444667605197,4.960345573103842,1.5825858761188856,2.3356190845622913,1,90881.67801491791,80542.053657119
310105008000,长宁区,仙霞新村街道,street,20827,2255331.447185719,548356.9059153008,1.4605925869941712,1.535929799079895,3.356171507835388,78.04371709513664,0.6626549959182739,4.736436128616333,225.5331447185719,346346.49161330884,3453809.307682551,13.214683465728811,0.9004022099571903,0.9305603544410027,1.4715935770769368,4.370001080359343,0.5084157198297005,1.7468381339871664,0,32433.889600535003,36161.35151743044
310105009000,长宁区,虹桥街道,street,84297,4045976.3155394415,4198264.764332524,17.368318181037903,4.979436832666397,7.911951348185539,165.4727348419726,17.73594178915024,23.773123663067818,404.59763155394415,347507.28343087784,3452733.7002212144,15.250182084727284,2.9106273425610496,1.788326388388385,2.1873932240346523,5.114831541308366,2.9304436999520638,3.209759342254879,1,127594.27724412773,105537.38756931313
310105010000,长宁区,程家桥街道,street,101760,7900144.418362715,530149.6030946966,2.6413185596466064,2.8448454332351685,2.652388141155243,44.47328150689602,0.7759271860122681,2.6853716564178467,790.0144418362715,342922.7275201662,3452411.3470324073,13.18091640194586,1.2923458577161344,1.3467334027309072,1.2953812388911374,3.8171249338472735,0.5743226448625356,1.304371377114058,0,31229.89218217929,34448.80481093639
310105011000,长宁区,北新泾街道,street,6332,1424018.4149545133,933255.3032955028,1.5564218759536743,0.0,0.5247400403022766,18.764800476312637,0.5727952122688293,1.1581032872200012,142.40184149545132,344208.9981200373,3455277.929758393,13.746435150887965,0.9386085760855226,0.0,0.4218239301529451,2.9839026018994486,0.45285442632476697,0.7692297281650853,2,34157.59800410351,28238.19708136612
310105102000,长宁区,新泾镇,town,148418,11908376.495338377,8963639.149102215,11.35586573600769,4.424819350242615,4.030570691823959,76.66018094694614,13.043909865021705,7.549050199985504,1190.8376495338377,343265.6391333979,3454721.7429162967,16.00868696908804,2.514130908698146,1.6909845993776338,1.6155334352948962,4.352342654289812,2.642188840243843,2.1458201890569772,2,105855.88310236007,106020.15929473509
310106006000,静安区,江宁路街道,street,35000,1832697.9179976378,936200.1734997868,12.925257310867309,7.118991889953613,4.871060228347778,97.07430648243427,2.317788835763931,11.290690310001374,183.26979179976377,351751.37806125474,3456925.5021321927,13.749585661318575,2.633704263981391,2.094205994982608,1.7700352356476852,4.585725420772468,1.1992985477188816,2.5088420904302855,0,88627.99446861759,79705.08183280923
310106011000,静安区,石门二路街道,street,47000,1078083.365315801,361290.4778622224,10.304571044445037,0.9158087593317032,2.03351535320282,76.51515110611916,2.714005473256111,9.653963764309884,107.8083365315801,352923.32148353226,3456823.3145020097,12.79744032942943,2.425207161130792,0.6501398621097166,1.109722129604754,4.350473415395503,1.3121109366117414,2.3659320073542274,1,59218.29500613711,57709.93234533192
310106012000,静安区,南京西路街道,street,152000,1616609.462053324,1873848.5303798786,32.03945963919163,6.521648131012917,8.42041455924511,371.2390377685726,3.7745424103736878,34.127677369117734,161.6609462053324,352610.11827766127,3455839.970118267,14.443505445269675,3.497702593773021,2.0177852803064114,2.242879096032362,5.919536222557157,1.5632981390524452,3.5589893487808277,1,151860.12311467773,154073.83928904144
310106013000,静安区,静安寺街道,street,80000,1569209.4971454577,2629832.1815742725,18.53432195544243,2.8759420704841614,7.299293255209923,198.28379947179556,9.588958538770676,14.161084768772126,156.92094971454577,351287.4238340994,3455362.401844934,14.782430973083027,2.972173018687477,1.354788748221311,2.1161703612023794,5.294729936768737,2.3598118109406685,2.7187319323226586,0,138596.10400469726,126162.0987825553
310106014000,静安区,曹家渡街道,street,48000,1483183.916599798,540203.303055192,15.805317160189151,1.6122574400901795,2.370296188592911,83.64732133245468,1.8633755040168762,4.872217416763306,148.3183916599798,350506.00169107167,3456350.3680278626,13.199702685979403,2.82169533396471,0.9602147670819863,1.2150006302923704,4.438493464043667,1.052001175048545,1.7702323166423177,0,78932.2765607488,70238.53939556231
310106015000,静安区,天目西路街道,street,161000,1922206.4659495696,4898981.31074223,7.657114641666412,1.5815452337265015,4.0486791133880615,84.78106440470219,1.2960570454597473,4.635596078634262,192.22064659495695,352495.8292174194,3458309.965992187,15.40453804982469,2.1583814848011933,0.9483881474488228,1.6191266473687052,4.451798287553393,0.8311933237321872,1.7291029233762907,0,102246.04400047318,95614.28223699388
310106016000,静安区,北站街道,street,65000,1768187.2264702325,3922021.803160331,4.189808140397072,1.5164883136749268,0.0,53.447450620770454,0.986338347196579,3.1972860676050185,176.81872264702324,354206.6763872126,3457981.3308781,15.182118099887852,1.6466967293263004,0.9228644033430763,0.0,3.997236027727673,0.6862929172737339,1.434438142048922,1,71333.41543138264,67755.99381230025
310106017000,静安区,宝山路街道,street,21000,1616655.8979898144,248380.26397834092,11.322097036242486,10.985689491033554,3.424044370651245,17.745023927092554,2.463553249835968,12.385229229927063,161.66558979898144,354192.5321696253,3459318.5118168737,12.422720199378443,2.511394157601339,2.4837133957295916,1.4870542937021174,2.9309283266390507,1.242295012936023,2.5941518027074078,3,39181.52305810912,40540.77173527739
310106018000,静安区,共和新路街道,street,31000,2735674.298582722,155733.5789936153,0.0,0.5559951066970825,1.242743194103241,22.395261808633805,2.0402647256851196,0.9577518105506897,273.5674298582722,352677.4453585478,3460326.193043328,11.955908420470811,0.0,0.4421152809550355,0.8076997568314235,3.1525335150499125,1.1119445924442897,0.6717967794604807,3,16158.839547053858,21016.47328323402
310106019000,静安区,大宁路街道,street,115000,6354987.548772765,6959068.201426651,4.534660080075264,1.3182430458068848,4.327634592056274,52.07703769445419,2.1641405820846558,4.752288281917572,635.4987548772765,352325.3709674319,3462751.34194915,15.755556287940017,1.7110301514608923,0.8408095909339168,1.6729073483141752,3.971744399588168,1.151881480677087,1.7495977377159773,2,80064.34378450648,83281.8082935799
