district,accounting_stratum_id,official_control_name_2023,control_type,employment_published,employment_reconciled,rounding_lower,rounding_upper,publication_unit,row_is_official_fine_control,fine_table_status,source_url,source_table,boundary_support,osm_match_name,geometry_is_approximate
奉贤区,outer-奉贤区-11,海湾旅游区,functional_zone,7087.0,7087,7087,7087,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,osm_relation,海湾旅游区,True
奉贤区,outer-奉贤区-12,工业综合开发区,functional_zone,77502.0,77502,77502,77502,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,district_overlay,,True
奉贤区,outer-奉贤区-13,杭州湾开发区,functional_zone,30548.0,30548,30548,30548,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,district_overlay,,True
奉贤区,outer-奉贤区-14,东方美谷集团,functional_zone,35719.0,35719,35719,35719,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,district_overlay,,True
奉贤区,outer-奉贤区-15,临港奉贤分区,functional_zone,17017.0,17017,17017,17017,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,district_overlay,,True
奉贤区,outer-奉贤区-16,市化工区（奉贤）,functional_zone,11740.0,11740,11740,11740,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,district_overlay,,True
崇明区,outer-崇明区-01,城桥镇,town,46830.0,46830,46830,46830,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,城桥镇,True
崇明区,outer-崇明区-02,堡镇,town,10443.0,10443,10443,10443,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,堡镇,True
崇明区,outer-崇明区-03,新河镇,town,6444.0,6444,6444,6444,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,新河镇,True
崇明区,outer-崇明区-04,庙镇,town,4877.0,4877,4877,4877,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,庙镇,True
崇明区,outer-崇明区-05,竖新镇,town,5472.0,5472,5472,5472,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,竖新镇,True
