station,lon,lat
白银路,121.240882,31.3472801
真北路,121.3775593,31.2340365
真新新村,121.3674467,31.2572465
祁华路,121.3688336,31.3241778
祁安路,121.3802641,31.2934242
祁连山南路,121.3626932,31.2394924
祁连山路,121.3722123,31.273409
紫竹高新区,121.4462399,31.025917
紫藤路,121.3609817,31.1717823
罗南新村,121.3527972,31.3905792
罗秀路,121.4311874,31.1337004
美兰湖,121.3452915,31.4036756
航中路,121.3491547,31.1671579
航津路,121.5897812,31.3375153
花桥,121.104407,31.29879
莘庄,121.38074585000001,31.11308195
莲花路,121.3982663,31.1328603
萧塘,121.4374021,30.9678558
虹桥1号航站楼,121.3427146,31.1932684
虹梅南路,121.4283228,31.105705
虹梅路,121.3926923,31.1622429
虹莘路,121.3758226,31.1395765
蟠祥路·国家会计学院,121.2817657,31.1834815
蟠龙路,121.2742138,31.1884239
西岑,120.9598944,31.0726117
西渡,121.42764015,30.9913353
赵巷,121.1877018,31.1630876
通河新村,121.4369064,31.3329517
醉白池,121.2244749,31.0028512
金平路,121.4054914,31.0132016
金沙江西路,121.3306649,31.2430562
金海湖,121.4877261,30.931089800000002
金运路,121.3148634,31.2427956
铁力路,121.4567134,31.4099505
银都路,121.3856299,31.0912508
锦秋路,121.3773156,31.322188
闵瑞路,121.530323,31.047956
闵行开发区,121.3650334,31.0025914
陈翔公路,121.3023394,31.3083445
青浦新城,121.1210999,31.1607843
顾戴路,121.3874729,31.1432364
顾村公园,121.3691844,31.34570335
颛桥,121.397231,31.068916
马陆,121.2723972,31.3215952
高桥,121.5587311,31.3547358
高桥西,121.5450534,31.3536141
龙柏新村,121.3659379,31.1792624
龙溪路,121.3757005,31.1963362
