district,accounting_stratum_id,control_name,control_type,official_control_total_employment,employment_I,employment_J,employment_M,employment_721,employment_723,employment_724,employment_725,inside_I,inside_J,inside_M,inside_721,inside_723,inside_724,inside_725,control_core_employment,control_core_plus_base_employment,core_inside_50min,core_plus_base_inside_50min,core_capture_percentage,core_plus_capture_percentage,contribution_to_core_plus_base_numerator_percentage,numerator_rank,fine_control_rank
黄浦区,310101002000,南京东路街道,street,101851,5590,1425,6458,3658,806,5829,1613,5590.0,1425.0,6458.0,3658.0,806.0,5829.0,1613.0,13473,25379,13473.0,25379.0,100.0,100.0,2.0938616433270805,14,11
浦东新区,310115502000,金桥经济技术开发区,functional_zone,203000,23111,19289,15203,3071,677,4895,1354,7997.3743952873665,7208.258262776287,5136.004992467849,1095.8595058775168,241.86193861726403,1702.7903969582546,493.0285618941279,57603,67600,20341.637650531506,23875.178053878662,35.31350389828916,35.318310730589744,1.9697907543489113,15,12
黄浦区,310101022000,淮海中路街道,street,81561,4477,1141,5172,2929,645,4668,1291,4477.0,1141.0,5172.0,2929.0,645.0,4668.0,1291.0,10790,20323,10790.0,20323.0,100.0,100.0,1.676722888109707,16,13
静安区,310106013000,静安寺街道,street,80000,7498,73,4411,2393,528,3815,1055,7498.0,73.0,4411.0,2393.0,528.0,3815.0,1055.0,11982,19773,11982.0,19773.0,100.0,100.0,1.631345847886298,17,14
浦东新区,310115008000,塘桥街道,street,54750,6233,5202,4100,828,183,1321,365,6227.809873879842,5197.960569286701,4097.0020010042845,827.6507466666166,183.0,1319.503848229297,365.0,15535,18232,15522.772444170829,18217.92703906674,99.92129027467544,99.92281175442486,1.5030465600706544,18,15
徐汇区,310104003000,天平路街道,street,57800,8417,0,5755,1102,243,1757,486,8404.143228643927,0.0,5745.469891866764,1101.029673421648,242.7491528742971,1754.831332957089,485.49185564330287,14172,17760,14149.61312051069,17733.71513540703,99.84203443769891,99.85199963630085,1.4630972818360723,19,16
浦东新区,310115013000,洋泾街道,street,51750,5892,4917,3875,783,173,1248,345,5892.0,4917.0,3875.0,783.0,173.0,1248.0,345.0,14684,17233,14684.0,17233.0,100.0,100.0,1.4217864257636461,20,17
浦东新区,310115105000,北蔡镇,town,60000,6831,5701,4493,908,200,1447,400,5886.84355716333,4883.640065124589,3873.153526031138,775.6716783128406,168.45987829483468,1246.0423202893885,342.5091909009705,17025,19980,14643.637148319056,17176.320216117092,86.01255300040562,85.96756864923469,1.417110133339812,21,18
静安区,310106016000,北站街道,street,65000,6092,59,3584,1945,428,3100,858,6092.0,59.0,3584.0,1945.0,428.0,3100.0,858.0,9735,16066,9735.0,16066.0,100.0,100.0,1.3255045967805221,22,19
杨浦区,310110018000,大桥街道,street,72321,11839,0,8046,952,210,1518,420,8242.307543629871,0.0,5620.117955910941,660.8636724763719,147.39316690889413,1059.5760526412594,292.1507411677814,19885,22985,13862.425499540812,16022.409132735118,69.71297711612175,69.70811021420543,1.3219081885309734,23,20
